x,y
http://www.wikidata.org/entity/Q2832178,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2938004,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2973270,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3019457,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3028701,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3141687,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3592686,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3622659,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3655749,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q93359119,-0549-01-01T00:00:00Z
http://www.wikidata.org/entity/Q312660,-0506-01-01T00:00:00Z
http://www.wikidata.org/entity/Q353188,-0508-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1379635,-0508-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2607297,-0508-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1654398,-0510-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106033517,-0545-01-01T00:00:00Z
http://www.wikidata.org/entity/Q577906,-0514-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10941912,-0505-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1654398,-0520-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1565660,-0521-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3503753,-0521-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24937013,-0501-01-01T00:00:00Z
http://www.wikidata.org/entity/Q603176,-0538-01-01T00:00:00Z
